AOI,reflectivity
0.5,0.2628571429
1.5,0.2628571429
2.5,0.2628571429
3.5,0.2628571429
4.5,0.2628571429
5.5,0.2628571429
6.5,0.2628571429
7.5,0.2628571429
8.5,0.2628571429
9.5,0.2628571429
10.5,0.2628571429
11.5,0.2628571429
12.5,0.2628571429
13.5,0.2628571429
14.5,0.2628571429
15.5,0.2628571429
16.5,0.2628571429
17.5,0.2628571429
18.5,0.2628571429
19.4461538462,0.2628571429
21.5692307692,0.2628571429
23.3230769231,0.2651428571
25.3538461538,0.272
27.2923076923,0.2697142857
29.3230769231,0.2697142857
31.2615384615,0.2697142857
33.2923076923,0.2697142857
35.4153846154,0.2674285714
37.1692307692,0.2788571429
39.1076923077,0.2788571429
41.3230769231,0.2857142857
43.1692307692,0.2971428571
45.2,0.304
47.1384615385,0.3154285714
49.0769230769,0.3245714286
51.2923076923,0.336
53.3230769231,0.3405714286
55.3538461538,0.3542857143
57.4769230769,0.3634285714
59.4153846154,0.3817142857
61.8153846154,0.416
63.2,0.4228571429
63.2,0.4274285714
69.3846153846,0.4868571429
71.6,0.4982857143
65.1384615385,0.4548571429
67.2615384615,0.4617142857
68.5,0.4617142857
69.5,0.4617142857
70.5,0.4617142857
71.5,0.4617142857
72.5,0.4617142857
73.5,0.4617142857
74.5,0.4617142857
75.5,0.4617142857
76.5,0.4617142857
77.5,0.4617142857
78.5,0.4617142857
79.5,0.4617142857
80.5,0.4617142857
81.5,0.4617142857
82.5,0.4617142857
83.5,0.4617142857
84.5,0.4617142857
85.5,0.4617142857
86.5,0.4617142857
87.5,0.4617142857
88.5,0.4617142857
89.5,0.4617142857


