AOI,reflectivity
0.5,0.247919114
1.5,0.247919114
2.5,0.247919114
3.5,0.247919114
4.5,0.247919114
5.5,0.247919114
6.5,0.247919114
7.5,0.247919114
8.5,0.247919114
9.5,0.247919114
10.5,0.247919114
11.5,0.247919114
12.5,0.247919114
13.5,0.247919114
14.5,0.247919114
15.5,0.247919114
16.5,0.247919114
17.5,0.247919114
18.5,0.247919114
19.4631125549,0.247919114
20.5490696561,0.2478785066
21.7255231825,0.2478345153
22.5408611663,0.250047617
23.3553289922,0.2500171614
24.3534001421,0.2567106096
25.6212202515,0.2589067916
26.4339477615,0.2543892216
27.5207750207,0.2565921715
28.4257392717,0.256558332
29.4203297899,0.2542775514
30.3252940409,0.2542437119
31.5034878831,0.258686835
32.3162153931,0.2541692651
33.4935390773,0.2563688309
34.4889997535,0.2563316075
35.5749568547,0.2562910001
36.2101721462,0.2607544269
37.2969994054,0.2629573768
38.1123373892,0.2651704784
39.1982944905,0.2651298711
40.1041288994,0.2673395888
41.3728191667,0.2717793279
42.1890273085,0.2762359868
43.2775948835,0.2829260511
44.2730555596,0.2828888277
45.2702565516,0.2873387186
46.1769611184,0.2917919936
47.1750322684,0.2984854418
48.2609893696,0.2984448344
49.3495569446,0.3051348987
50.3484982524,0.3140719041
51.3465694023,0.3207653522
52.4316563456,0.3184811877
53.3374907546,0.3206909054
54.4260583296,0.3273809696
55.2431366293,0.3340811857
56.3308340464,0.3385276928
57.5995243137,0.3429674319
58.4174727713,0.3519112052
59.5965367714,0.3585978855
60.5980885531,0.3742655625
61.6892666019,0.3876862984
62.9614375009,0.4011002664
64.0526155497,0.4145210022
65.2360303395,0.4324254686
66.3228575987,0.4346284184
67.4088146999,0.434587811
68.3189998985,0.4480153148
69.5015445303,0.4636762239
70.4978753644,0.4658825577
71.5847026235,0.4680855075
19.4631125549,0.247919114
20.5490696561,0.2478785066
21.7255231825,0.2478345153
22.5408611663,0.250047617
23.3553289922,0.2500171614
24.3534001421,0.2567106096
25.6212202515,0.2589067916
26.4339477615,0.2543892216
27.5207750207,0.2565921715
28.4257392717,0.256558332
29.4203297899,0.2542775514
30.3252940409,0.2542437119
31.5034878831,0.258686835
32.3162153931,0.2541692651
33.4935390773,0.2563688309
34.4889997535,0.2563316075
35.5749568547,0.2562910001
36.2101721462,0.2607544269
37.2969994054,0.2629573768
38.1123373892,0.2651704784
39.1982944905,0.2651298711
40.1041288994,0.2673395888
41.3728191667,0.2717793279
42.1890273085,0.2762359868
43.2775948835,0.2829260511
44.2730555596,0.2828888277
45.2702565516,0.2873387186
46.1769611184,0.2917919936
47.1750322684,0.2984854418
48.2609893696,0.2984448344
49.3495569446,0.3051348987
50.3484982524,0.3140719041
51.3465694023,0.3207653522
52.4316563456,0.3184811877
53.3374907546,0.3206909054
54.4260583296,0.3273809696
55.2431366293,0.3340811857
56.3308340464,0.3385276928
57.5995243137,0.3429674319
58.4174727713,0.3519112052
59.5965367714,0.3585978855
60.5980885531,0.3742655625
61.6892666019,0.3876862984
62.9614375009,0.4011002664
64.0526155497,0.4145210022
65.2360303395,0.4324254686
66.3228575987,0.4346284184
67.4088146999,0.434587811
68.3189998985,0.4480153148
69.5015445303,0.4636762239
70.4978753644,0.4658825577
71.5847026235,0.4680855075
72.5,0.4680855075
73.5,0.4680855075
74.5,0.4680855075
75.5,0.4680855075
76.5,0.4680855075
77.5,0.4680855075
78.5,0.4680855075
79.5,0.4680855075
80.5,0.4680855075
81.5,0.4680855075
82.5,0.4680855075
83.5,0.4680855075
84.5,0.4680855075
85.5,0.4680855075
86.5,0.4680855075
87.5,0.4680855075
88.5,0.4680855075
89.5,0.4680855075


