Wavelength (micrometers),n,k
0.192,0.9669,1.6309
0.191,0.9671,1.6209
0.19,0.9674,1.6109
0.189,0.9676,1.601
0.188,0.9679,1.5912
0.187,0.9681,1.5815
0.186,0.9684,1.5717
0.185,0.9686,1.5621
0.184,0.9689,1.5524
0.183,0.9692,1.5429
0.182,0.9695,1.5333
0.181,0.9699,1.5238
0.18,0.9703,1.5144
0.179,0.9707,1.505
0.177,0.9711,1.4956
0.176,0.9715,1.4862
0.175,0.972,1.4769
0.174,0.9725,1.4677
0.173,0.973,1.4584
0.172,0.9735,1.4492
0.171,0.974,1.44
0.17,0.9746,1.4309
0.169,0.9752,1.4218
0.168,0.9758,1.4127
0.167,0.9763,1.4036
0.166,0.9769,1.3946
0.165,0.9775,1.3856
0.164,0.9781,1.3766


