name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type

sipm,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - sipm2-1 thin_sipm-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt
source,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - Am-241_source-1 source_Am-241_part3-1.STL,steel,liquid xenon,None,red,0,0,0,none
silica window,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - silica-1.STL,silica,liquid xenon,None,cyan,0,-1.9474,0,solid
SiPM holder,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - Assem2-1 Cu Holder-1.STL,copper,liquid xenon,Cu-Xe,green,0,0,0,solid
source holder,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - Am-241_holder-1.STL,aluminum,liquid xenon,Al-Xe,green,0,0,0,solid
silica gasket 1,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - silica_window-1 silica_gasket-1.STL,copper,liquid xenon,Cu-Xe,orange,0,-1.9474,0,solid
silica gasket 2,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - silica_window-1 silica_gasket-2.STL,copper,liquid xenon,Cu-Xe,orange,0,-1.9474,0,solid
aluminum filler,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - Al_filler-1.STL,aluminum,liquid xenon,Al-Xe,grey,0,0,0,solid
copper plate upper,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - APD Disk_wdrill_1-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
copper plate lower,/workspace/data_files/stl_files/25.6mm/newassemblystart_25.6_trianglesipm - APD Disk_wdrill_1-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid


