name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type,killing surface
sipm,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - SipmSubAssembly-1 SiPM.step-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt,False
source,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - sourceflippedassem-1 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none,False
silica window,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid,False
silica gasket 1,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - silicawindow-1 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
silica gasket 2,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - silicawindow-1 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper plate 1,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - SiPM-Disk-1.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper plate 2,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - SiPM-Disk-2.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper washer,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - WasherReplacement-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflectorholder1,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 2023_5_23_SilicaGasketCut-3.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflectorholder2,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 2023_5_23_SilicaGasketCut-4.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflector9,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-9.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector10,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-10.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector11,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-11.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector12,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-12.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector13,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-13.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector14,/workspace/data_files/stl_files/2023_5_26_Assembly_N8_Palladium_FlippedSourceTall/currentTallFlipped - 2023_5_26 ReflectorHolderAssemTall-1 reflector-14.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
