name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type
sipm,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - FBKSiPMAssem-1 SipmPlate-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt
source,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - sourceflippedassem-2 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none
silica window,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - silicawindow-2 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid
silica gasket 1,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - silicawindow-2 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
silica gasket 2,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - silicawindow-2 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
copper plate 1,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - SiPM-Disk-1.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
copper plate 2,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - SiPM-Disk-2.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
copper washer,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - WasherReplacement-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
reflectorholder1,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 2023_5_23_SilicaGasketCut-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
reflectorholder2,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 2023_5_23_SilicaGasketCut-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid
reflector2,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-2.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector3,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-3.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector4,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-4.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector5,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-5.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector6,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-6.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector7,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-7.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector8,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-8.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
reflector9,/workspace/data_files/stl_files/Sebastian/2023_8_01_Palladium_FlippedSource/PalladiumUpdated - 2023_5_25 ReflectorHolderAssemWide-2 reflector-9.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid
