name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type

sipm,/workspace/data_files/stl_files/Sebastian/2023_6_05_Assembly_N8_Teflon_FS/Updated measures Teflon FS - SipmSubAssembly-1 SiPM.step-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt

source,/workspace/data_files/stl_files/Sebastian/2023_6_05_Assembly_N8_Teflon_FS/Updated measures Teflon FS - sourceflippedassem-1 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none

teflon,/workspace/data_files/stl_files/Sebastian/2023_6_05_Assembly_N8_Teflon_FS/Updated measures Teflon FS - TeflonReflector-1.STL,copper,liquid xenon,Cu-Xe,black,0,0,0,solid

silica window,/workspace/data_files/stl_files/Sebastian/2023_6_05_Assembly_N8_Teflon_FS/Updated measures Teflon FS - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid



