source holder,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - source-2 Am-241_Source_Holder.step-1.STL,steel,liquid xenon,None,red,0,0,0,none

source part 1,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - source-2 Am-241_Source_part-1.step-1.STL,steel,liquid xenon,None,red,0,0,0,none

source part 2,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - source-2 Am-241_Source_part-2.step-1.STL,steel,liquid xenon,None,red,0,0,0,none


copper plate 1,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - SiPM-Disk-1-.15mm-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

copper plate 2,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - SiPM-Disk-2-.15mm.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

silica window,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid

silica gasket 1,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - silicawindow-1 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

silica gasket 2,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - silicawindow-1 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid

test piece,/workspace/data_files/stl_files/Sebastian/2023_5_11_WithTeflon/2023_5_11_WithTeflon - source-2 sourcepart3-2.STL,teflon,liquid xenon,teflon-Xe,orange,0,10,0,solid



