empty,x,y,z,angle,PTE,LXe R_i,seeding
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,93.96936,48.906666,91.27882,5.9999886,0,1.78,18271
1,89.046,48.906666,88.690735,31.225689,0.001007,1.78,18271
1,89.47482,48.906666,88.66808,30.422083,0.001238,1.78,18271
1,89.89957,48.906666,88.645546,29.62182,0.001171,1.78,18271
1,90.32061,48.906666,88.62299,28.825096,0.00113,1.78,18271
1,90.73831,48.906666,88.60032,28.03219,0.001082,1.78,18271
1,91.15297,48.906666,88.57744,27.243464,0.001006,1.78,18271
1,89.75263,48.906666,93.013,16.997072,0.000941,1.78,18271
1,90.22211,48.906666,93.23807,16.216183,0.000888,1.78,18271
1,92.38185,48.906666,88.50669,24.906979,0.00758,1.78,18271
1,92.78738,48.906666,88.48216,24.140116,0.007333,1.78,18271
1,93.19131,48.906666,88.45708,23.38053,0.007177,1.78,18271
1,93.59388,48.906666,88.43136,22.629185,0.006973,1.78,18271
1,89.88494,48.906666,89.07601,25.18864,0.000675,1.78,18271
1,90.54413,48.906666,88.7426,74.80644,0.000625,1.78,18271
1,93.35369,48.906666,92.978004,5.328405,0.000612,1.78,18271
1,88.45155,48.906666,92.17508,39.38539,0.000783,1.78,18271
1,88.92891,48.906666,92.237495,38.399563,0.000685,1.78,18271
1,89.39867,48.906666,92.303154,37.416267,0.000652,1.78,18271
1,89.86141,48.906666,92.372185,36.43591,0.000606,1.78,18271
1,90.3177,48.906666,92.44469,35.458935,0.000576,1.78,18271
1,90.768074,48.906666,92.520805,34.485878,0.000573,1.78,18271
1,88.382675,48.906666,88.405304,28.369349,0.000533,1.78,18271
1,91.65299,48.906666,92.68441,32.55397,0.00049,1.78,18271
1,94.02278,48.906666,93.83824,12.956677,0.00046,1.78,18271
1,90.53638,48.906666,93.229065,57.406593,0.000377,1.78,18271
1,90.594444,48.906666,88.37289,61.482605,0.000369,1.78,18271
