empty,x,y,z,angle,PTE,LXe r_i,seed
1,90.723015,48.906666,89.67181,4.016345,0.004383,1.6462951573925424,13125
1,92.26978,48.906666,92.08688,2.1058927,0.004336,1.642800098492044,12978
1,89.12438,48.90667,92.7146,6.5095153,0.004449,1.6413128521115405,24219
1,93.7628,48.906666,88.98722,35.430878,0.004538,1.641000760440987,4874
1,93.48398,48.906666,91.307465,35.31468,0.004427,1.6464755961704243,12828
1,90.13473,48.906666,88.96827,6.5718756,0.00437,1.6475209816233933,22009
1,91.87565,48.906666,93.57765,5.4949746,0.00442,1.6459722578776752,2665
1,91.29986,48.906666,92.75843,4.4010854,0.00443,1.6486358665950487,31268
1,93.04475,48.906666,93.69,6.3545895,0.004499,1.641053381994711,30881
1,91.4137,48.906666,88.56286,17.892998,0.004397,1.641989348739858,8027
1,89.58193,48.906666,89.12448,54.75078,0.004385,1.6400194977810465,14434
1,89.35722,48.906666,91.25142,6.475386,0.004554,1.6431275109157928,21101
1,91.50789,48.906666,90.31226,0.4463111,0.004455,1.6487203531693448,29687
1,90.08999,48.906666,89.90998,3.7017922,0.004383,1.640399112703371,6434
1,89.342545,48.906666,89.96135,7.265309,0.004448,1.639194296348822,11897
1,89.31559,48.90667,90.180916,30.51231,0.00457,1.6412951923809111,6247
1,88.584015,48.90667,93.81158,8.404151,0.00437,1.647770185207841,10059
1,91.92068,48.906662,90.26875,4.1083727,0.004545,1.6477047236602498,20219
1,88.49696,48.906666,91.9878,7.8040633,0.004514,1.6469126397621283,32764
1,92.02543,48.906666,91.96861,2.0707483,0.004474,1.645809793637962,28528
1,91.87618,48.906666,92.289925,4.130242,0.00452,1.6421276003146519,28897
1,89.93381,48.906666,90.938644,3.7851696,0.004483,1.6391746496950679,31696
1,92.50376,48.906666,93.82996,8.119385,0.004458,1.6407323143614416,404
1,91.78822,48.906666,93.943085,5.706297,0.004453,1.643817754203682,3701
1,90.41589,48.906666,93.90761,6.6465287,0.004472,1.6434260042543851,19617
1,88.63086,48.906666,92.556175,7.3389034,0.004303,1.6427063008433822,14649
1,91.6715,48.906666,90.11592,0.79031014,0.004483,1.6417198360330671,27040
1,89.472176,48.906666,93.22407,8.057077,0.004287,1.6414504804639873,11527
1,89.583885,48.906666,92.19049,4.1936255,0.004327,1.6426644823657728,31424
1,92.19646,48.906666,90.48701,3.4921658,0.004443,1.6395855114941569,334
1,93.93476,48.906666,92.90386,6.0624595,0.004279,1.640672706937018,30381
1,89.9947,48.906666,89.71725,5.2123322,0.004406,1.6427088939290928,13283
1,90.946304,48.906666,89.83195,3.9061532,0.004319,1.6454826555651387,10038
1,88.693954,48.906666,89.3942,6.4982085,0.004394,1.644173891046028,30737
1,89.4638,48.906666,92.80094,6.1794267,0.004441,1.641379780155805,135
1,91.50789,48.906666,90.31226,0.4463111,0.00445,1.6462581004272259,29687
1,92.083405,48.906666,93.6071,35.464317,0.004382,1.640224119973141,31646
1,91.67702,48.906666,88.882,6.9760046,0.004346,1.6403685768786946,31774
1,91.98957,48.90667,91.160706,0.87267655,0.004384,1.6415676334405316,21689
1,94.09645,48.90667,88.52818,9.510848,0.004305,1.6443447748477695,25849
1,89.99953,48.906666,88.96411,5.8810334,0.004414,1.6448011764689383,14698
1,91.275635,48.906666,89.283066,2.4921434,0.004482,1.646483307997328,14314
1,93.66869,48.906666,93.72141,7.440361,0.004442,1.644338816563582,12970
1,90.26702,48.906666,91.99235,35.40497,0.004518,1.6433952707772106,25394
1,93.12539,48.906666,89.437614,5.4266114,0.004486,1.641610274989636,10198
1,90.54991,48.906666,93.563995,6.656288,0.004254,1.648256459838307,3991
1,89.5367,48.906666,88.59154,5.6680093,0.004432,1.6448817603609482,13151
1,90.6183,48.906662,88.96014,28.378374,0.004393,1.640098429087074,31657
1,91.74815,48.906666,91.25977,0.9481196,0.004446,1.647017547959742,16529
1,89.36062,48.906666,94.11954,7.743671,0.004475,1.6456455069493998,8680
1,88.88818,48.906666,89.57121,7.242807,0.00436,1.6414595001568129,19119
1,94.2329,48.906666,88.71144,10.897877,0.004424,1.6411537869284187,20031
1,89.255585,48.906666,90.28976,6.611562,0.004425,1.6456917284637866,22864
1,88.37309,48.906666,91.223175,7.575876,0.004445,1.6487667561052066,26203
1,93.6786,48.906662,90.8692,4.089692,0.004414,1.641221784819291,13050
1,90.65718,48.90667,88.50399,4.8589773,0.004358,1.641131147611873,22509
1,92.82405,48.906666,89.79362,4.107705,0.004528,1.6488417486378393,25720
1,89.80192,48.906666,90.956,4.806605,0.004345,1.6405648154568597,22102
1,90.16798,48.906666,89.225174,6.9940057,0.004499,1.648275260456649,31155
1,90.24307,48.906666,92.42999,2.4823065,0.004425,1.6405684975927155,4156
1,92.01878,48.906662,89.33919,3.991303,0.004435,1.6401256435939067,4617
1,93.89806,48.906666,91.333984,29.257519,0.004451,1.6457304587316162,24183
1,89.49256,48.906666,93.25183,7.5265255,0.004382,1.6404614644077302,10007
1,93.43663,48.906666,93.80548,7.317431,0.004554,1.6455959126657063,31673
1,92.70777,48.906666,93.84498,7.257825,0.004505,1.6460490461149864,31000
1,92.31595,48.906666,90.43695,4.2799754,0.004433,1.6416937382754537,16438
1,88.57376,48.90667,90.021645,8.21523,0.00438,1.6418235014665952,18063
1,93.026344,48.906666,89.7868,3.2944365,0.004411,1.641390544419809,4830
1,92.53692,48.906666,89.46396,5.5260925,0.004465,1.6453835565500807,27304
1,90.80237,48.906666,92.17123,1.8600426,0.004407,1.6482068237417247,26396
1,91.84606,48.906666,91.49801,2.3195906,0.004353,1.642462453215717,9366
1,89.52629,48.906666,91.52333,4.019026,0.004473,1.6411847646567796,10385
1,93.82346,48.906666,94.029755,9.762533,0.004399,1.6461170673072412,1305
1,89.01875,48.906666,90.5633,7.3139715,0.004394,1.6448539312658716,21246
